epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.833,0,4.89454,0,0,0,0,0,0,8.17408,0,0.000664251,0.000664251,0.000664251
2,247.595,0,1.73613,0,0,0,0,0,0,1.47642,0,0.00126504,0.00126504,0.00126504
1,158.942,2.11295,2.29789,1.7558,0.80096,0.84564,0.87065,0.49624,1.38724,1.29717,1.41146,0.000664251,0.000664251,0.000664251
2,308.124,1.56612,1.26659,1.42583,0.8346,0.87362,0.9043,0.53502,1.30178,0.98108,1.3285,0.00126504,0.00126504,0.00126504
3,455.939,1.5162,1.19762,1.39646,0.83435,0.85101,0.89559,0.54157,1.31893,0.98634,1.33791,0.00179982,0.00179982,0.00179982
4,603.375,1.45483,1.11342,1.35388,0.83908,0.89498,0.91662,0.55892,1.24481,1.06851,1.3213,0.001703,0.001703,0.001703
5,750.551,1.39592,1.02897,1.31916,0.86649,0.89313,0.93528,0.62504,1.14891,0.77339,1.28572,0.001604,0.001604,0.001604
6,885.932,1.35667,0.97997,1.30425,0.88133,0.91117,0.9495,0.62809,1.11814,0.73759,1.23088,0.001505,0.001505,0.001505
7,1012.49,1.34032,0.94795,1.29525,0.8771,0.92328,0.95082,0.64738,1.10118,0.68393,1.2091,0.001406,0.001406,0.001406
8,1156.55,1.30481,0.90697,1.27925,0.86171,0.91139,0.93064,0.65821,1.01117,0.69086,1.15892,0.001307,0.001307,0.001307
9,1300.57,1.25729,0.8729,1.25129,0.8935,0.93224,0.96362,0.67359,1.01014,0.64814,1.1629,0.001208,0.001208,0.001208
10,1530.26,1.22658,0.83858,1.23194,0.88424,0.93939,0.96101,0.69196,0.9823,0.61184,1.15512,0.001109,0.001109,0.001109
11,1675.01,1.06717,0.67658,1.19554,0.90842,0.9327,0.97196,0.69967,0.97711,0.58117,1.14637,0.00101,0.00101,0.00101
12,1819.16,1.04433,0.64462,1.17393,0.90246,0.95015,0.97288,0.72218,0.92632,0.55019,1.11964,0.000911,0.000911,0.000911
13,1966.46,1.01953,0.62344,1.15734,0.90063,0.95045,0.97241,0.73597,0.88511,0.53025,1.09061,0.000812,0.000812,0.000812
14,2120.14,0.99319,0.59986,1.14618,0.90377,0.94776,0.97269,0.72746,0.90936,0.5315,1.10891,0.000713,0.000713,0.000713
15,2270.99,0.96867,0.57537,1.12897,0.91688,0.95104,0.97716,0.75235,0.86099,0.5055,1.06913,0.000614,0.000614,0.000614
16,2427.51,0.94989,0.56243,1.12265,0.91036,0.95489,0.97668,0.75603,0.85886,0.4859,1.06485,0.000515,0.000515,0.000515
17,2578.63,0.92499,0.54902,1.10018,0.91438,0.96328,0.98037,0.76412,0.82859,0.47255,1.05111,0.000416,0.000416,0.000416
18,2730.67,0.89901,0.528,1.09046,0.91772,0.95891,0.97818,0.77314,0.80119,0.46689,1.03524,0.000317,0.000317,0.000317
19,2881.41,0.88719,0.52423,1.08453,0.91785,0.96119,0.97854,0.77743,0.79275,0.46255,1.02605,0.000218,0.000218,0.000218
20,3299.15,0.86991,0.51236,1.07363,0.92126,0.95697,0.98,0.78244,0.78198,0.45308,1.02281,0.000119,0.000119,0.000119
